Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death
44393,US-Mexico Border,31-Dec-17,2017,Dec,4,,4,,,4,,Mixed
44598,Central America,31-Dec-17,2017,Dec,1,,1,,,1,,Hit by train
44392,US-Mexico Border,31-Dec-17,2017,Dec,1,,1,,,,,Vehicle Accident
44369,US-Mexico Border,31-Dec-17,2017,Dec,48,,48,,,,,Mixed
44370,US-Mexico Border,31-Dec-17,2017,Dec,3,,3,,,,,Mixed
44371,US-Mexico Border,31-Dec-17,2017,Dec,2,,2,,,,,Mixed
44373,US-Mexico Border,31-Dec-17,2017,Dec,2,,2,,,,,Mixed
44374,US-Mexico Border,31-Dec-17,2017,Dec,4,,4,,,,,Mixed
44064,US-Mexico Border,30-Dec-17,2017,Dec,1,,1,,,,,Unknown
44361,Central America,28-Dec-17,2017,Dec,1,,1,,,1,,Hit by train
44075,Central America,25-Dec-17,2017,Dec,1,,1,,,1,,Shot
44072,US-Mexico Border,23-Dec-17,2017,Dec,1,,1,,,,,Unknown (skeletal remains)
44073,US-Mexico Border,23-Dec-17,2017,Dec,1,,1,,,1,,Drowning
44053,Central America,19-Dec-17,2017,Dec,6,,6,,1,5,1,Vehicle Accident
44063,US-Mexico Border,18-Dec-17,2017,Dec,1,,1,,,1,,Unknown (skeletal remains)
44082,Central America,18-Dec-17,2017,Dec,1,,1,,,1,,Hit by train
44037,US-Mexico Border,14-Dec-17,2017,Dec,1,,1,,,,,Hypothermia
44025,US-Mexico Border,13-Dec-17,2017,Dec,7,,7,,2,8,,Hypothermia
44389,US-Mexico Border,9-Dec-17,2017,Dec,3,,3,,,3,,Hypothermia
44388,US-Mexico Border,9-Dec-17,2017,Dec,2,,2,,,2,,Hypothermia
44024,US-Mexico Border,9-Dec-17,2017,Dec,1,,1,,,1,,Hypothermia
44048,US-Mexico Border,9-Dec-17,2017,Dec,2,,2,,,,,Hypothermia
44023,US-Mexico Border,8-Dec-17,2017,Dec,1,,1,14,,1,,Hypothermia
44047,US-Mexico Border,8-Dec-17,2017,Dec,1,,1,,1,,,Hypothermia
44387,US-Mexico Border,7-Dec-17,2017,Dec,1,,1,,,1,,Hypothermia
44017,US-Mexico Border,7-Dec-17,2017,Dec,1,,1,14,,1,,Hypothermia
44021,US-Mexico Border,7-Dec-17,2017,Dec,1,,1,,,,,Unknown
